id;alias;name_id;category;baseamount;portionamount;unit;kcal;carbohydrates;sugar;fat;proteins;fibre
1;hovezi-zampiony;98;main;100;100;g;99;15;1;2;5;
2;skubanky-mak;99;main;100;200;g;153;24;10;5;5;3
3;rizoto;100;main;100;250;g;125;16;2;4;5;1
4;karbanatek;101;main;100;150;g;240;22;2;13;9;
5;slepici;103;soup;100;200;ml;60;6;1;3;2;
6;hrachova;104;soup;100;200;ml;85;14;1;0;5;2
7;bramborova;105;soup;100;180;ml;95;18;3;1;3;1
8;water;106;drink;100;250;ml;0;0;0;0;0;
9;cola;107;drink;100;250;ml;47;11;11;0;0;
10;dzus;108;drink;100;250;ml;42;9;9;0;1;
11;stava;109;drink;100;250;ml;10;5;5;0;0;
12;okurkovy-salat;110;side;100;50;g;51;11;10;0;1;1
13;mandarinka;111;side;100;70;g;43;12;9;0;1;2
